id,raw_query,sub_query,financial_terms,query_type,correct_agent
PROF_0001,What is our net profit margin for last year?,What is our net profit margin for last year?,net profit margin,calculation,profitability_agent
PROF_0002,Show me the ROI for Personal Loan Plan A in 2024.,Show me the ROI for Personal Loan Plan A in 2024.,ROI,lookup,profitability_agent
PROF_0003,Calculate EBITDA for Q4 2025.,Calculate EBITDA for Q4 2025.,EBITDA,calculation,profitability_agent
PROF_0004,What was the net income for the Consumer Finance segment last quarter?,What was the net income for the Consumer Finance segment last quarter?,net income,lookup,profitability_agent
PROF_0005,How has our gross margin changed since Q2 2025?,How has our gross margin changed since Q2 2025?,gross margin,calculation,profitability_agent
PROF_0006,Give me the operating margin for Q1 2025.,Give me the operating margin for Q1 2025.,operating margin,lookup,profitability_agent
PROF_0007,What is the return on equity for the Consumer Finance segment?,What is the return on equity for the Consumer Finance segment?,ROE,lookup,profitability_agent
PROF_0008,Compute the profit margin for Premium Savings Account.,Compute the profit margin for Premium Savings Account.,profit margin,calculation,profitability_agent
PROF_0009,What's our EBITDA margin this year?,What's our EBITDA margin this year?,EBITDA margin,calculation,profitability_agent
PROF_0010,Show the operating profit trend over the last 4 quarters.,Show the operating profit trend over the last 4 quarters.,operating profit,lookup,profitability_agent
PROF_0011,What is the return on assets for this quarter?,What is the return on assets for this quarter?,ROA,lookup,profitability_agent
PROF_0012,How profitable was Gold Credit Card in 2025?,How profitable was Gold Credit Card in 2025?,profit margin,calculation,profitability_agent
PROF_0013,Break down the net income by product for Q2 2026.,Break down the net income by product for Q2 2026.,net income,calculation,profitability_agent
PROF_0014,What's the year-over-year growth in EBITDA?,What's the year-over-year growth in EBITDA?,EBITDA,calculation,profitability_agent
PROF_0015,Can you calculate ROI for the Corporate Banking division?,Can you calculate ROI for the Corporate Banking division?,ROI,calculation,profitability_agent
PROF_0016,What is our gross profit for Q2 2026?,What is our gross profit for Q2 2026?,gross profit,lookup,profitability_agent
PROF_0017,Show operating income for Premium Savings Account.,Show operating income for Premium Savings Account.,operating income,lookup,profitability_agent
PROF_0018,Give me a comparison of net profit margin across all products for last quarter.,Give me a comparison of net profit margin across all products for last quarter.,net profit margin,calculation,profitability_agent
PROF_0019,What was the ROE last fiscal year?,What was the ROE last fiscal year?,ROE,lookup,profitability_agent
PROF_0020,Calculate the net margin for Insurance Plan Beta in last year.,Calculate the net margin for Insurance Plan Beta in last year.,net margin,calculation,profitability_agent
PROF_0021,What is the contribution margin for Platinum Credit Card?,What is the contribution margin for Platinum Credit Card?,contribution margin,calculation,profitability_agent
PROF_0022,How much profit did the Retail division generate in Q1 2025?,How much profit did the Retail division generate in Q1 2025?,net income,lookup,profitability_agent
PROF_0023,Show me EBITDA by segment for 2025.,Show me EBITDA by segment for 2025.,EBITDA,lookup,profitability_agent
PROF_0024,What is the pre-tax profit margin for Q4 2025?,What is the pre-tax profit margin for Q4 2025?,pre-tax profit margin,calculation,profitability_agent
PROF_0025,Is our operating margin improving quarter over quarter?,Is our operating margin improving quarter over quarter?,operating margin,calculation,profitability_agent
PROF_0026,What's the gross margin percentage for Home Loan Plan B?,What's the gross margin percentage for Home Loan Plan B?,gross margin,lookup,profitability_agent
PROF_0027,Give me the profitability ratios for Q4 2025.,Give me the profitability ratios for Q4 2025.,profitability ratio,lookup,profitability_agent
PROF_0028,How does our net profit margin compare to last year?,How does our net profit margin compare to last year?,net profit margin,calculation,profitability_agent
PROF_0029,What was the total operating profit for this quarter?,What was the total operating profit for this quarter?,operating profit,lookup,profitability_agent
PROF_0030,Calculate return on equity for the Retail division in last quarter.,Calculate return on equity for the Retail division in last quarter.,ROE,calculation,profitability_agent
PROF_0031,What is the EBIT for Q3 2025?,What is the EBIT for Q3 2025?,EBIT,lookup,profitability_agent
PROF_0032,Show me net income trends for the past 3 quarters.,Show me net income trends for the past 3 quarters.,net income,lookup,profitability_agent
PROF_0033,What's the profit margin breakdown across the Wealth Management unit?,What's the profit margin breakdown across the Wealth Management unit?,profit margin,calculation,profitability_agent
PROF_0034,How much did EBITDA grow between 2025 and now?,How much did EBITDA grow between 2025 and now?,EBITDA,calculation,profitability_agent
LIQ_0001,What is our current ratio for this quarter?,What is our current ratio for this quarter?,current ratio,calculation,liquidity_agent
LIQ_0002,Show me the quick ratio for the SME Lending unit.,Show me the quick ratio for the SME Lending unit.,quick ratio,lookup,liquidity_agent
LIQ_0003,What was the operating cash flow for FY2024?,What was the operating cash flow for FY2024?,operating cash flow,lookup,liquidity_agent
LIQ_0004,Calculate free cash flow for Personal Loan Plan A.,Calculate free cash flow for Personal Loan Plan A.,free cash flow,calculation,liquidity_agent
LIQ_0005,How much working capital do we have right now?,How much working capital do we have right now?,working capital,lookup,liquidity_agent
LIQ_0006,What is our cash on hand for last quarter?,What is our cash on hand for last quarter?,cash on hand,lookup,liquidity_agent
LIQ_0007,Show the liquidity ratio trend over the last year.,Show the liquidity ratio trend over the last year.,liquidity ratio,lookup,liquidity_agent
LIQ_0008,What's the acid-test ratio for the Retail division?,What's the acid-test ratio for the Retail division?,acid-test ratio,calculation,liquidity_agent
LIQ_0009,Calculate the current ratio for last quarter vs last quarter.,Calculate the current ratio for last quarter vs last quarter.,current ratio,calculation,liquidity_agent
LIQ_0010,How much cash reserve does the Corporate Banking division maintain?,How much cash reserve does the Corporate Banking division maintain?,cash reserves,lookup,liquidity_agent
LIQ_0011,What is our net cash flow for Q3 2025?,What is our net cash flow for Q3 2025?,cash flow,lookup,liquidity_agent
LIQ_0012,Show me working capital by division for 2025.,Show me working capital by division for 2025.,working capital,lookup,liquidity_agent
LIQ_0013,What's the quick ratio trend for the past 4 quarters?,What's the quick ratio trend for the past 4 quarters?,quick ratio,lookup,liquidity_agent
LIQ_0014,Do we have enough liquidity to cover short-term obligations?,Do we have enough liquidity to cover short-term obligations?,liquidity ratio,calculation,liquidity_agent
LIQ_0015,Calculate operating cash flow margin for last quarter.,Calculate operating cash flow margin for last quarter.,operating cash flow,calculation,liquidity_agent
LIQ_0016,What is the cash conversion cycle for Mutual Fund Series 1?,What is the cash conversion cycle for Mutual Fund Series 1?,cash conversion cycle,calculation,liquidity_agent
LIQ_0017,Show free cash flow for the Wealth Management unit in last year.,Show free cash flow for the Wealth Management unit in last year.,free cash flow,lookup,liquidity_agent
LIQ_0018,What's our short-term liquidity position?,What's our short-term liquidity position?,liquidity ratio,lookup,liquidity_agent
LIQ_0019,How has working capital changed since Q2 2025?,How has working capital changed since Q2 2025?,working capital,calculation,liquidity_agent
LIQ_0020,Give me the current ratio broken down by account.,Give me the current ratio broken down by account.,current ratio,lookup,liquidity_agent
LIQ_0021,What is the cash flow from operations for 2024?,What is the cash flow from operations for 2024?,cash flow from operations,lookup,liquidity_agent
LIQ_0022,Calculate the quick ratio for last quarter.,Calculate the quick ratio for last quarter.,quick ratio,calculation,liquidity_agent
LIQ_0023,How much liquid cash do we have available for Wealth Management unit?,How much liquid cash do we have available for Wealth Management unit?,cash reserves,lookup,liquidity_agent
LIQ_0024,What's the net working capital for last year?,What's the net working capital for last year?,working capital,calculation,liquidity_agent
LIQ_0025,Show the cash flow statement summary for Q4 2025.,Show the cash flow statement summary for Q4 2025.,cash flow,lookup,liquidity_agent
LIQ_0026,Is our current ratio healthy compared to industry standards?,Is our current ratio healthy compared to industry standards?,current ratio,calculation,liquidity_agent
LIQ_0027,What was the free cash flow yield for 2025?,What was the free cash flow yield for 2025?,free cash flow,calculation,liquidity_agent
LIQ_0028,Give me the liquidity coverage ratio for the SME Lending unit.,Give me the liquidity coverage ratio for the SME Lending unit.,liquidity coverage ratio,lookup,liquidity_agent
LIQ_0029,How much cash inflow did we see in Q1 2025?,How much cash inflow did we see in Q1 2025?,cash flow,lookup,liquidity_agent
LIQ_0030,Calculate working capital ratio for Personal Loan Plan A.,Calculate working capital ratio for Personal Loan Plan A.,working capital ratio,calculation,liquidity_agent
LIQ_0031,What's our cash burn rate this quarter?,What's our cash burn rate this quarter?,cash burn rate,calculation,liquidity_agent
LIQ_0032,Show the quick ratio for all divisions in Q2 2025.,Show the quick ratio for all divisions in Q2 2025.,quick ratio,lookup,liquidity_agent
LIQ_0033,What is the current liquidity position of the Retail division?,What is the current liquidity position of the Retail division?,liquidity ratio,lookup,liquidity_agent
LIQ_0034,Calculate the cash flow to debt ratio for Q3 2025.,Calculate the cash flow to debt ratio for Q3 2025.,cash flow to debt ratio,calculation,liquidity_agent
PROD_0001,Create a new product called Gold Credit Card.,Create a new product called Gold Credit Card.,product creation,crud_action,product_agent
PROD_0002,Update the pricing for Insurance Plan Beta to reflect the new rate.,Update the pricing for Insurance Plan Beta to reflect the new rate.,product pricing,crud_action,product_agent
PROD_0003,Delete the Insurance Plan Alpha from our product catalog.,Delete the Insurance Plan Alpha from our product catalog.,product,crud_action,product_agent
PROD_0004,What is the current price of Personal Loan Plan A?,What is the current price of Personal Loan Plan A?,product pricing,lookup,product_agent
PROD_0005,Add a new SKU for Mutual Fund Series 1.,Add a new SKU for Mutual Fund Series 1.,SKU,crud_action,product_agent
PROD_0006,Change the interest rate on Insurance Plan Alpha.,Change the interest rate on Insurance Plan Alpha.,product pricing,crud_action,product_agent
PROD_0007,Show me the product details for Platinum Credit Card.,Show me the product details for Platinum Credit Card.,product,lookup,product_agent
PROD_0008,List all active products in our catalog.,List all active products in our catalog.,product catalog,lookup,product_agent
PROD_0009,Update the terms and conditions for Insurance Plan Alpha.,Update the terms and conditions for Insurance Plan Alpha.,product,crud_action,product_agent
PROD_0010,What products are currently offered under the Corporate Banking division?,What products are currently offered under the Corporate Banking division?,product catalog,lookup,product_agent
PROD_0011,Deactivate the Fixed Deposit Plan product listing.,Deactivate the Fixed Deposit Plan product listing.,product listing,crud_action,product_agent
PROD_0012,Create a new pricing tier for Basic Checking Account.,Create a new pricing tier for Basic Checking Account.,product pricing,crud_action,product_agent
PROD_0013,What's the unit cost for Basic Checking Account?,What's the unit cost for Basic Checking Account?,product cost,lookup,product_agent
PROD_0014,Modify the eligibility criteria for Personal Loan Plan A.,Modify the eligibility criteria for Personal Loan Plan A.,product,crud_action,product_agent
